Customer_ID,Gender,City,Membership,Spending_Score
113,Male,Los Angeles,Silver,80
114,Female,Chicago,Silver,47
115,Male,Chicago,Platinum,15
116,Female,Los Angeles,Platinum,25
117,Female,Houston,Platinum,36
118,Male,Chicago,Platinum,75
119,Female,New York,Gold,51
120,Male,New York,Platinum,15
121,Male,New York,Gold,68
122,Male,Houston,Gold,21
123,Male,Los Angeles,Gold,13
124,Female,New York,Silver,86
125,Male,Houston,Gold,19
126,Female,Chicago,Gold,34
127,Female,Los Angeles,Silver,78
128,Female,Chicago,Silver,68
129,Female,Houston,Silver,52
130,Male,New York,Platinum,27
131,Male,New York,Silver,29
132,Female,Houston,Silver,28
133,Female,New York,Gold,35
134,Male,Los Angeles,Silver,8
135,Female,Houston,Platinum,16
136,Male,Chicago,Silver,36
137,Female,Houston,Platinum,30
138,Male,Los Angeles,Silver,18
139,Female,Los Angeles,Silver,2
140,Female,Houston,Silver,49
141,Male,Houston,Silver,77
142,Female,New York,Platinum,4
143,Female,Los Angeles,Platinum,90
144,Male,Houston,Gold,89
145,Female,Houston,Platinum,94
146,Male,Los Angeles,Silver,75
147,Male,Houston,Gold,7
148,Female,New York,Gold,95
149,Female,Los Angeles,Gold,74
150,Female,New York,Silver,39
151,Female,New York,Platinum,13
152,Female,New York,Silver,31
153,Female,New York,Gold,71
154,Female,Los Angeles,Silver,63
155,Male,New York,Silver,56
156,Female,New York,Platinum,42
157,Male,Houston,Platinum,61
158,Female,Los Angeles,Gold,42
159,Female,Los Angeles,Silver,56
160,Male,Chicago,Silver,36
161,Female,Los Angeles,Platinum,84
162,Female,Los Angeles,Silver,68
163,Male,Chicago,Silver,7
164,Female,Los Angeles,Silver,54
165,Female,Los Angeles,Platinum,1
166,Female,Los Angeles,Gold,44
167,Male,Los Angeles,Gold,45
168,Female,Chicago,Silver,47
169,Female,Los Angeles,Gold,13
170,Female,Los Angeles,Platinum,22
171,Female,Chicago,Platinum,21
172,Male,Houston,Gold,86
173,Male,New York,Gold,92
174,Female,Houston,Silver,9
175,Female,Chicago,Gold,26
176,Male,New York,Silver,9
177,Male,Chicago,Silver,15
178,Female,Chicago,Platinum,10
179,Male,Los Angeles,Platinum,88
180,Female,New York,Platinum,42
181,Male,Los Angeles,Platinum,72
182,Male,New York,Gold,24
183,Male,Chicago,Platinum,80
184,Male,Chicago,Gold,49
185,Female,Houston,Platinum,26
186,Male,New York,Gold,91
187,Male,Los Angeles,Silver,37
188,Female,Houston,Gold,68
189,Male,Houston,Gold,50
190,Male,Houston,Platinum,24
191,Female,Los Angeles,Gold,19
192,Male,Houston,Silver,60
193,Female,Los Angeles,Silver,39
194,Female,Houston,Platinum,74
195,Female,Los Angeles,Silver,89
196,Female,Chicago,Gold,18
197,Male,Chicago,Silver,19
198,Female,Chicago,Platinum,36
199,Male,Chicago,Gold,74
200,Male,Chicago,Platinum,97
